state,state_code,county_code,county,date,timezone,injuries_direct,injuries_indirect,deaths_direct,deaths_indirect,damage,f_scale,length,width,latitude,longitude
ALABAMA,1,87,MACON,11-APR-13 19:34:00,CST-6,1,0,0,0,0.00K,EF2,4.87,200,32.53,-85.74
ALABAMA,1,81,LEE,11-APR-13 19:43:00,CST-6,0,0,0,0,0.00K,EF0,0.22,52,32.59,-85.7
ALABAMA,1,83,LIMESTONE,17-MAY-13 13:00:00,CST-6,0,0,0,0,50.00K,EF0,2.04,50,34.76,-86.97
ALABAMA,1,83,LIMESTONE,17-MAY-13 13:45:00,CST-6,0,0,0,0,100.00K,EF0,0.15,50,34.95,-86.88
ARIZONA,4,17,NAVAJO,15-JUL-13 19:00:00,MST-7,0,0,0,0,0.00K,EF0,0.1,10,35.03,-110.69
ARKANSAS,5,33,CRAWFORD,29-JAN-13 14:57:00,CST-6,0,0,0,0,20.00K,EF2,6.6,700,35.63,-94.47
ARKANSAS,5,143,WASHINGTON,29-JAN-13 15:34:00,CST-6,0,0,0,0,500.00K,EF1,4.2,400,36.02,-94.06
ARKANSAS,5,87,MADISON,29-JAN-13 15:57:00,CST-6,0,0,0,0,250.00K,EF1,2,350,36.3,-93.7
ARKANSAS,5,119,PULASKI,29-JAN-13 20:01:00,CST-6,0,0,0,0,10.00K,EF0,5.25,50,34.5,-92.1
ARKANSAS,5,43,DREW,29-JAN-13 20:51:00,CST-6,0,0,0,0,20.00K,EF0,3.57,50,33.65,-91.74
ARKANSAS,5,91,MILLER,18-FEB-13 15:30:00,CST-6,0,0,0,0,0.00K,EF0,0.01,20,33.32,-93.75
ARKANSAS,5,141,VAN BUREN,10-APR-13 15:24:00,CST-6,5,0,0,0,3.50M,EF2,17.26,800,35.49,-92.57
ARKANSAS,5,65,IZARD,10-APR-13 16:44:00,CST-6,0,0,0,0,350.00K,EF2,1.24,100,36.01,-92.1
ARKANSAS,5,137,STONE,10-APR-13 16:51:00,CST-6,0,0,0,0,200.00K,EF1,4.14,300,35.75,-92.28
ARKANSAS,5,79,LINCOLN,10-APR-13 19:26:00,CST-6,0,0,0,0,500.00K,EF1,6.72,400,33.82,-91.68
ARKANSAS,5,3,ASHLEY,18-APR-13 14:08:00,CST-6,0,0,0,0,20.00K,EF1,4.25,150,33.04,-91.97
ARKANSAS,5,17,CHICOT,18-APR-13 15:38:00,CST-6,0,0,0,0,0.00K,EF0,0.45,50,33.08,-91.23
ARKANSAS,5,143,WASHINGTON,20-MAY-13 17:45:00,CST-6,0,0,0,0,100.00K,EF1,2.2,500,36.04,-94.54
ARKANSAS,5,7,BENTON,20-MAY-13 17:49:00,CST-6,0,0,0,0,50.00K,EF1,2.9,500,36.2,-94.57
ARKANSAS,5,7,BENTON,20-MAY-13 18:24:00,CST-6,0,0,0,0,50.00K,EF1,0.8,270,36.32,-93.93
ARKANSAS,5,113,POLK,30-MAY-13 13:08:00,CST-6,0,0,0,0,35.00K,EF1,0.8,200,34.62,-94.37
