state,region,county,region_code,state_code,county_code,date,timezone,injuries_direct,injuries_indirect,deaths_direct,deaths_indirect,damage,f_scale,length,width,latitude,longitude
Kentucky,Southeast,Pulaski County,5,21,199,30-Jan-13 06:30:00,EST-5,0,0,0,0,5.00K,EF0,0.5,150,37.06,-84.61
Kentucky,Southeast,Pulaski County,5,21,199,24-Mar-13 16:40:00,EST-5,0,0,0,0,100.00K,EF1,0.36,80,37.07,-84.6
Kentucky,Southeast,Graves County,5,21,83,18-Apr-13 19:24:00,CST-6,0,0,0,0,10.00K,EF0,0.33,100,36.55,-88.73
Kentucky,Southeast,Graves County,5,21,83,18-Apr-13 19:31:00,CST-6,0,0,0,0,3.00K,EF0,3.17,100,36.61,-88.65
Kentucky,Southeast,Graves County,5,21,83,18-Apr-13 19:54:00,CST-6,0,0,0,0,35.00K,EF0,2.21,150,36.86,-88.52
Kentucky,Southeast,Marshall County,5,21,157,18-Apr-13 19:57:00,CST-6,0,0,0,0,8.00K,EF0,1.39,150,36.87,-88.49
Kentucky,Southeast,Johnson County,5,21,115,09-Jun-13 16:54:00,EST-5,0,0,0,0,0.00K,EF0,0.1,50,37.91,-82.72
Kentucky,Southeast,Lawrence County,5,21,127,09-Jun-13 16:55:00,EST-5,0,0,0,0,10.00K,EF0,0.39,50,37.91,-82.72
Kentucky,Southeast,Logan County,5,21,141,10-Jun-13 12:40:00,CST-6,4,0,0,0,500.00K,EF2,9.03,325,,
Kentucky,Southeast,Simpson County,5,21,213,10-Jun-13 13:00:00,CST-6,0,0,0,0,2.00K,EF1,4.87,200,,
Kentucky,Southeast,Larue County,5,21,123,26-Jun-13 22:25:00,EST-5,0,0,0,0,500.00K,EF2,6.65,300,,
Kentucky,Southeast,Trigg County,5,21,221,06-Jul-13 18:50:00,CST-6,0,0,0,0,5.00K,EF0,0.89,50,36.85,-87.93
Kentucky,Southeast,Ballard County,5,21,7,31-Oct-13 19:14:00,CST-6,0,0,0,0,15.00K,EF1,0.92,200,36.94,-89.1
Kentucky,Southeast,Carlisle County,5,21,39,31-Oct-13 19:25:00,CST-6,0,0,0,0,200.00K,EF1,5.01,200,36.9,-88.89
Kentucky,Southeast,Ballard County,5,21,7,31-Oct-13 19:30:00,CST-6,0,0,0,0,15.00K,EF0,0.22,70,36.96,-88.94
Kentucky,Southeast,Mccracken County,5,21,145,31-Oct-13 19:31:00,CST-6,0,0,0,0,3.00K,EF1,3.25,200,36.95,-88.82
Kentucky,Southeast,Mccracken County,5,21,145,31-Oct-13 19:39:00,CST-6,0,0,0,0,100.00K,EF1,2.15,225,36.94,-88.71
Kentucky,Southeast,Mccracken County,5,21,145,31-Oct-13 19:48:00,CST-6,0,0,0,0,15.00K,EF0,0.98,40,36.98,-88.52
Kentucky,Southeast,Mccracken County,5,21,145,31-Oct-13 19:50:00,CST-6,0,0,0,0,35.00K,EF1,0.45,40,37.03,-88.54
Kentucky,Southeast,Marshall County,5,21,157,31-Oct-13 20:03:00,CST-6,0,0,0,0,35.00K,EF0,0.5,50,37,-88.35
Kentucky,Southeast,Mccracken County,5,21,145,17-Nov-13 14:05:00,CST-6,1,0,0,0,350.00K,EF2,13.42,200,37.1,-88.88
Kentucky,Southeast,Livingston County,5,21,139,17-Nov-13 14:29:00,CST-6,0,0,0,0,400.00K,EF2,12.21,300,37.12,-88.44
Kentucky,Southeast,Union County,5,21,225,17-Nov-13 14:41:00,CST-6,0,0,0,0,500.00K,EF3,10.31,200,37.7,-87.94
Kentucky,Southeast,Lyon County,5,21,143,17-Nov-13 14:45:00,CST-6,0,0,0,0,10.00K,EF1,5.8,100,37.12,-88.21
Kentucky,Southeast,Henderson County,5,21,101,17-Nov-13 14:55:00,CST-6,0,0,0,0,250.00K,EF2,3.81,200,37.73,-87.76
Kentucky,Southeast,Caldwell County,5,21,33,17-Nov-13 15:18:00,CST-6,0,0,0,0,200.00K,EF1,3.16,200,37.15,-87.91
Kentucky,Southeast,Hopkins County,5,21,107,17-Nov-13 15:32:00,CST-6,1,0,0,0,700.00K,EF3,8.23,200,37.15,-87.49
Kentucky,Southeast,Muhlenberg County,5,21,177,17-Nov-13 15:50:00,CST-6,0,0,0,0,100.00K,EF1,0.85,80,37.16,-87.27
Kentucky,Southeast,Butler County,5,21,31,17-Nov-13 16:10:00,CST-6,1,0,0,0,250.00K,EF1,5.46,200,37.16,-86.9
Kentucky,Southeast,Calloway County,5,21,35,21-Dec-13 17:31:00,CST-6,0,0,0,0,2.00K,EF0,0.33,50,36.73,-88.32
Kentucky,Southeast,Taylor County,5,21,217,21-Dec-13 23:07:00,EST-5,0,0,0,0,200.00K,EF1,5.53,300,37.33,-85.4
Kentucky,Southeast,Harrison County,5,21,97,21-Dec-13 23:29:00,EST-5,0,0,0,0,100.00K,EF1,3.49,110,38.46,-84.38
Kentucky,Southeast,Bourbon County,5,21,17,21-Dec-13 23:41:00,EST-5,0,0,0,0,150.00K,EF1,5.74,1.25,38.3,-84.25
Louisiana,Southeast,St. Martin Parish,5,22,99,10-Jan-13 05:30:00,CST-6,0,0,0,0,200.00K,EF1,2.06,50,30.27,-91.9
Louisiana,Southeast,Iberia Parish,5,22,45,10-Jan-13 05:51:00,CST-6,0,0,0,0,100.00K,EF1,5.53,50,29.95,-91.78
Louisiana,Southeast,Iberville Parish,5,22,47,10-Jan-13 07:35:00,CST-6,0,0,0,0,15.00K,EF0,0.3,100,30.28,-91.21
Louisiana,Southeast,De Soto Parish,5,22,31,12-Jan-13 23:30:00,CST-6,0,0,0,0,0.00K,EF1,1.35,300,32.18,-93.59
Louisiana,Southeast,Red River Parish,5,22,81,12-Jan-13 23:32:00,CST-6,0,0,0,0,50.00K,EF1,3.81,300,32.2,-93.57
Louisiana,Southeast,Caddo Parish,5,22,17,12-Jan-13 23:37:00,CST-6,2,0,0,0,70.00K,EF1,1.9,300,32.24,-93.53
Louisiana,Southeast,St. Martin Parish,5,22,99,13-Jan-13 12:15:00,CST-6,0,0,0,0,100.00K,EF1,0.38,25,30.25,-91.83
Louisiana,Southeast,East Baton Rouge Parish,5,22,33,13-Jan-13 13:19:00,CST-6,0,0,0,0,20.00K,EF0,8.21,40,30.65,-91.2
Louisiana,Southeast,East Feliciana Parish,5,22,37,13-Jan-13 13:25:00,CST-6,0,0,0,0,20.00K,EF0,4.25,40,30.71,-91.08
Louisiana,Southeast,West Carroll Parish,5,22,123,29-Jan-13 21:36:00,CST-6,0,0,0,0,250.00K,EF2,5.37,100,32.73,-91.57
Louisiana,Southeast,De Soto Parish,5,22,31,18-Feb-13 14:38:00,CST-6,0,0,0,0,0.00K,EF0,2.03,10,31.93,-93.69
Louisiana,Southeast,Caddo Parish,5,22,17,18-Feb-13 18:05:00,CST-6,0,0,0,0,0.00K,EF0,0.01,25,32.74,-93.89
Louisiana,Southeast,Caddo Parish,5,22,17,18-Feb-13 18:08:00,CST-6,0,0,0,0,0.00K,EF0,0.01,20,32.72,-93.83
Louisiana,Southeast,Vernon Parish,5,22,115,21-Feb-13 14:58:00,CST-6,0,0,0,0,5.00K,EF1,2.43,50,31.32,-93.11
Louisiana,Southeast,Natchitoches Parish,5,22,69,21-Feb-13 15:07:00,CST-6,0,0,0,0,0.00K,EF1,0.01,30,31.38,-93.04
Louisiana,Southeast,Concordia Parish,5,22,29,21-Feb-13 17:12:00,CST-6,0,0,0,0,75.00K,EF1,2.95,75,31.68,-91.55
Louisiana,Southeast,Lafourche Parish,5,22,57,24-Feb-13 20:30:00,CST-6,0,0,0,0,50.00K,EF0,1.95,25,29.68,-90.56
Louisiana,Southeast,Terrebonne Parish,5,22,109,25-Feb-13 16:41:00,CST-6,0,0,0,0,100.00K,EF1,0.95,30,29.57,-90.7
Louisiana,Southeast,St. Tammany Parish,5,22,103,11-Apr-13 12:05:00,CST-6,0,0,0,0,100.00K,EF1,8.76,120,30.28,-89.89
Louisiana,Southeast,East Carroll Parish,5,22,35,18-Apr-13 16:19:00,CST-6,0,0,0,0,50.00K,EF1,2.87,75,32.57,-91.2
Louisiana,Southeast,Madison Parish,5,22,65,18-Apr-13 16:23:00,CST-6,0,0,0,0,0.00K,EF0,0.4,50,32.45,-91.22
Louisiana,Southeast,Iberville Parish,5,22,47,24-Apr-13 08:55:00,CST-6,0,0,0,0,20.00K,EF0,0.38,75,30.3,-91.11
Louisiana,Southeast,Jefferson Parish,5,22,51,24-Apr-13 10:48:00,CST-6,0,0,0,0,150.00K,EF1,0.9,50,30.04,-90.27
Louisiana,Southeast,Jefferson Parish,5,22,51,24-Apr-13 10:52:00,CST-6,2,0,0,0,100.00K,EF0,2.23,75,30.01,-90.2
Louisiana,Southeast,Bienville Parish,5,22,13,27-Apr-13 19:32:00,CST-6,0,0,0,0,0.00K,EF1,2.29,880,32.38,-93.09
Louisiana,Southeast,Beauregard Parish,5,22,11,09-May-13 22:35:00,CST-6,0,0,0,0,10.00K,EF0,1.04,20,30.68,-93.47
Louisiana,Southeast,Cameron Parish,5,22,23,10-May-13 00:45:00,CST-6,0,0,0,0,25.00K,EF0,0.89,75,30.02,-93.17
Louisiana,Southeast,Caddo Parish,5,22,17,16-May-13 13:39:00,CST-6,1,0,0,0,250.00K,EF1,5.23,1400,32.45,-93.96
Louisiana,Southeast,Caddo Parish,5,22,17,16-May-13 14:05:00,CST-6,0,0,0,0,0.00K,EF0,0.78,250,32.33,-93.81
Louisiana,Southeast,De Soto Parish,5,22,31,16-May-13 14:06:00,CST-6,0,0,0,0,0.00K,EF0,1.7,350,32.33,-93.8
Louisiana,Southeast,Jefferson Parish,5,22,51,19-Jun-13 14:45:00,CST-6,0,0,0,0,10.00K,EF0,0.3,60,29.24,-89.99
Louisiana,Southeast,Red River Parish,5,22,81,27-Jul-13 23:33:00,CST-6,0,0,0,0,0.00K,EF1,9.97,1760,32.22,-93.45
Louisiana,Southeast,Calcasieu Parish,5,22,19,31-Oct-13 08:46:00,CST-6,0,0,0,0,30.00K,EF1,7.12,150,30.34,-93.44
Louisiana,Southeast,Beauregard Parish,5,22,11,31-Oct-13 09:00:00,CST-6,0,0,0,0,0.00K,EF0,2.48,75,30.48,-93.24
Louisiana,Southeast,Beauregard Parish,5,22,11,31-Oct-13 09:00:00,CST-6,0,0,0,0,400.00K,EF1,7.89,150,30.42,-93.24
Louisiana,Southeast,Allen Parish,5,22,3,31-Oct-13 09:14:00,CST-6,0,0,0,0,0.00K,EF0,0.82,75,30.52,-93.08
Louisiana,Southeast,Calcasieu Parish,5,22,19,31-Oct-13 09:30:00,CST-6,0,0,0,0,10.00K,EF0,1.39,30,30.16,-93.3
Louisiana,Southeast,Evangeline Parish,5,22,39,31-Oct-13 10:21:00,CST-6,0,0,0,0,3.00K,EF0,0.49,75,30.75,-92.43
Louisiana,Southeast,Acadia Parish,5,22,1,31-Oct-13 10:41:00,CST-6,0,0,0,0,1.00K,EF0,0.5,70,30.28,-92.59
Louisiana,Southeast,Union Parish,5,22,111,21-Dec-13 15:43:00,CST-6,0,0,0,0,1.00K,EF1,0.76,75,32.64,-92.38
Mississippi,Southeast,Pearl River County,5,28,109,13-Jan-13 16:45:00,CST-6,0,0,0,0,40.00K,EF1,1,150,30.81,-89.5
Mississippi,Southeast,Wayne County,5,28,153,13-Jan-13 18:15:00,CST-6,0,0,0,0,100.00K,EF1,3.35,200,31.59,-88.53
Mississippi,Southeast,Bolivar County,5,28,11,29-Jan-13 18:48:00,CST-6,0,0,0,0,5.00K,EF0,0.45,50,33.59,-91.02
Mississippi,Southeast,Bolivar County,5,28,11,29-Jan-13 23:10:00,CST-6,0,0,0,0,175.00K,EF1,5.53,150,33.68,-90.8
Mississippi,Southeast,Monroe County,5,28,95,30-Jan-13 04:25:00,CST-6,0,0,0,0,50.00K,EF1,6.99,300,33.84,-88.35
Mississippi,Southeast,Lawrence County,5,28,77,10-Feb-13 15:39:00,CST-6,0,0,0,0,75.00K,EF1,1.58,140,31.47,-90.01
Mississippi,Southeast,Marion County,5,28,91,10-Feb-13 16:23:00,CST-6,3,0,0,0,300.00K,EF2,16.73,400,31.11,-89.92
Mississippi,Southeast,Lamar County,5,28,73,10-Feb-13 16:49:00,CST-6,0,0,0,0,75.00K,EF2,1.4,400,31.21,-89.66
Mississippi,Southeast,Lamar County,5,28,73,10-Feb-13 17:03:00,CST-6,8,0,0,0,13.50M,EF4,7.55,1320,31.28,-89.47
Mississippi,Southeast,Forrest County,5,28,35,10-Feb-13 17:15:00,CST-6,63,0,0,0,25.00M,EF3,12.3,1320,31.32,-89.35
Mississippi,Southeast,Perry County,5,28,111,10-Feb-13 17:34:00,CST-6,0,0,0,0,25.00K,EF1,1.8,100,31.35,-89.15
Mississippi,Southeast,Wayne County,5,28,153,10-Feb-13 18:46:00,CST-6,0,0,0,0,100.00K,EF1,3.15,250,31.53,-88.67
Mississippi,Southeast,Wayne County,5,28,153,10-Feb-13 19:14:00,CST-6,0,0,0,0,50.00K,EF1,3.11,200,31.63,-88.54
Mississippi,Southeast,Jefferson Davis County,5,28,65,21-Feb-13 22:31:00,CST-6,0,0,0,0,175.00K,EF2,6.27,400,31.45,-89.86
Mississippi,Southeast,Covington County,5,28,31,21-Feb-13 23:00:00,CST-6,0,0,0,0,15.00K,EF0,0.67,75,31.57,-89.59
Mississippi,Southeast,Kemper County,5,28,69,11-Apr-13 10:35:00,CST-6,5,0,1,0,700.00K,EF3,23.81,1320,32.64,-88.87
Mississippi,Southeast,Noxubee County,5,28,103,11-Apr-13 11:04:00,CST-6,4,0,0,0,500.00K,EF3,30.17,1320,32.93,-88.64
Mississippi,Southeast,Issaquena County,5,28,55,18-Apr-13 16:03:00,CST-6,0,0,0,0,25.00K,EF1,1.98,50,32.94,-91.06
Mississippi,Southeast,Washington County,5,28,151,18-Apr-13 16:09:00,CST-6,0,0,0,0,0.00K,EF0,0.27,50,33.32,-90.86
Mississippi,Southeast,Sharkey County,5,28,125,18-Apr-13 16:21:00,CST-6,0,0,0,0,0.00K,EF0,1.55,50,33.03,-90.87
Mississippi,Southeast,Sharkey County,5,28,125,18-Apr-13 16:29:00,CST-6,0,0,0,0,5.00K,EF0,0.27,25,33.07,-90.74
Mississippi,Southeast,Panola County,5,28,107,27-Apr-13 20:55:00,CST-6,0,0,0,0,100.00K,EF2,0.79,75,34.18,-89.91
Mississippi,Southeast,Sunflower County,5,28,133,20-Sep-13 18:24:00,CST-6,0,0,0,0,25.00K,EF0,0.42,100,,
Mississippi,Southeast,Simpson County,5,28,127,20-Sep-13 20:57:00,CST-6,0,0,0,0,0.00K,EF0,3.23,50,,
Mississippi,Southeast,Adams County,5,28,1,20-Sep-13 22:30:00,CST-6,0,0,0,0,125.00K,EF2,1.21,200,,
Mississippi,Southeast,Adams County,5,28,1,20-Sep-13 22:54:00,CST-6,0,0,0,0,2.00K,EF1,0.32,200,,
Mississippi,Southeast,Rankin County,5,28,121,21-Sep-13 01:53:00,CST-6,0,0,0,0,70.00K,EF1,0.98,100,,
Mississippi,Southeast,Smith County,5,28,129,21-Sep-13 02:33:00,CST-6,0,0,0,0,50.00K,EF1,0.73,50,,
Mississippi,Southeast,Warren County,5,28,149,20-Dec-13 16:41:00,CST-6,0,0,0,0,5.00K,EF0,0.24,50,32.16,-90.77
Mississippi,Southeast,Hinds County,5,28,49,20-Dec-13 16:56:00,CST-6,0,0,0,0,0.00K,EF0,0.14,30,32.2,-90.7
Mississippi,Southeast,Bolivar County,5,28,11,21-Dec-13 16:59:00,CST-6,0,0,0,0,500.00K,EF2,32.58,440,33.55,-91.23
Mississippi,Southeast,Coahoma County,5,28,27,21-Dec-13 17:19:00,CST-6,2,0,1,0,1.00M,EF2,10.07,300,34.15,-90.77
Mississippi,Southeast,Tunica County,5,28,143,21-Dec-13 17:40:00,CST-6,1,0,0,0,250.00K,EF1,2.67,200,34.45,-90.42
Mississippi,Southeast,Panola County,5,28,107,21-Dec-13 17:57:00,CST-6,0,0,0,0,50.00K,EF1,4.3,200,34.52,-90.09
Mississippi,Southeast,Tate County,5,28,137,21-Dec-13 18:00:00,CST-6,0,0,0,0,125.00K,EF1,1.87,200,34.55,-90.03
Mississippi,Southeast,Tate County,5,28,137,21-Dec-13 18:13:00,CST-6,0,0,0,0,50.00K,EF0,0.72,100,34.74,-89.74
North Carolina,Southeast,Johnston County,5,37,101,26-Feb-13 20:18:00,EST-5,0,0,0,0,45.00K,EF0,0.49,75,35.58,-78.25
North Carolina,Southeast,Brunswick County,5,37,19,07-Jun-13 00:22:00,EST-5,0,0,0,0,10.00K,EF0,0.09,20,33.94,-78.25
North Carolina,Southeast,Onslow County,5,37,133,10-Jun-13 19:05:00,EST-5,0,0,0,0,0.50K,EF1,0.57,50,34.81,-77.41
North Carolina,Southeast,Haywood County,5,37,87,13-Jun-13 15:10:00,EST-5,1,0,0,0,0.00K,EF1,1.88,100,35.74,-83.18
North Carolina,Southeast,Franklin County,5,37,69,18-Jun-13 17:30:00,EST-5,0,0,0,0,150.00K,EF0,1.25,150,35.98,-78.39
North Carolina,Southeast,Person County,5,37,145,02-Jul-13 11:25:00,EST-5,0,0,0,0,100.00K,EF0,0.43,180,36.51,-79.08
North Carolina,Southeast,Stokes County,5,37,169,21-Sep-13 16:58:00,EST-5,0,0,0,0,85.00K,EF1,0.53,90,,
North Carolina,Southeast,Brunswick County,5,37,19,22-Sep-13 03:39:00,EST-5,0,0,0,0,10.00K,EF0,0.21,20,,
North Carolina,Southeast,Carteret County,5,37,31,26-Nov-13 22:15:00,EST-5,2,0,0,0,2.50M,EF2,0.36,200,34.7,-76.77
North Carolina,Southeast,Carteret County,5,37,31,26-Nov-13 22:17:00,EST-5,0,0,0,0,4.00M,EF1,3.22,200,34.72,-76.76
South Carolina,Southeast,Fairfield County,5,45,39,28-Apr-13 18:42:00,EST-5,0,0,0,0,10.00K,EF0,0.25,50,34.31,-80.91
South Carolina,Southeast,Anderson County,5,45,7,02-Jun-13 15:09:00,EST-5,0,0,0,0,150.00K,EF1,4.82,125,34.49,-82.79
South Carolina,Southeast,Orangeburg County,5,45,75,04-Jun-13 14:29:00,EST-5,0,0,0,0,340.00K,EF1,2.28,220,33.33,-80.59
South Carolina,Southeast,Dorchester County,5,45,35,04-Jun-13 14:39:00,EST-5,0,0,0,0,,EF1,3.12,264,33.31,-80.56
South Carolina,Southeast,Dorchester County,5,45,35,04-Jun-13 14:41:00,EST-5,0,0,0,0,,EF1,2.06,176,33.3,-80.56
South Carolina,Southeast,Greenville County,5,45,45,10-Jun-13 12:20:00,EST-5,0,0,0,0,5.00K,EF0,1.34,80,34.72,-82.42
South Carolina,Southeast,Horry County,5,45,51,29-Jun-13 15:15:00,EST-5,0,0,0,0,35.00K,EF0,0.11,30,33.65,-79.04
South Carolina,Southeast,Horry County,5,45,51,29-Jun-13 15:26:00,EST-5,0,0,0,0,15.00K,EF0,0.07,50,33.7,-79.01
South Carolina,Southeast,Florence County,5,45,41,02-Jul-13 17:59:00,EST-5,9,0,0,0,88.00K,EF1,3.08,90,,
South Carolina,Southeast,Beaufort County,5,45,13,13-Jul-13 08:01:00,EST-5,0,0,0,0,0.00K,EF0,0.01,25,32.38,-80.46
Tennessee,Southeast,Rutherford County,5,47,149,13-Jan-13 15:36:00,CST-6,0,0,0,0,25.00K,EF0,1.59,100,35.72,-86.67
Tennessee,Southeast,Humphreys County,5,47,85,30-Jan-13 02:12:00,CST-6,0,0,0,0,200.00K,EF1,2.32,150,35.97,-87.8
Tennessee,Southeast,Hickman County,5,47,81,30-Jan-13 02:26:00,CST-6,0,0,0,0,500.00K,EF2,2.98,300,35.78,-87.65
Tennessee,Southeast,Wayne County,5,47,181,30-Jan-13 02:32:00,CST-6,0,0,0,0,150.00K,EF1,7.53,100,35.43,-87.78
Tennessee,Southeast,Lewis County,5,47,101,30-Jan-13 02:40:00,CST-6,0,0,0,0,300.00K,EF1,7.7,100,35.47,-87.66
Tennessee,Southeast,Dickson County,5,47,43,30-Jan-13 02:45:00,CST-6,0,0,0,0,75.00K,EF0,2.82,100,36.08,-87.22
Tennessee,Southeast,Cheatham County,5,47,21,30-Jan-13 02:47:00,CST-6,0,0,0,0,25.00K,EF0,4.43,100,36.09,-87.17
Tennessee,Southeast,Cheatham County,5,47,21,30-Jan-13 02:52:00,CST-6,1,0,0,0,50.00K,EF0,0.24,75,36.28,-87.06
Tennessee,Southeast,Robertson County,5,47,147,30-Jan-13 02:59:00,CST-6,0,0,0,0,750.00K,EF2,4.97,200,36.44,-86.91
Tennessee,Southeast,Davidson County,5,47,37,30-Jan-13 03:00:00,CST-6,0,0,0,0,10.00K,EF0,5.55,50,36.33,-86.92
Tennessee,Southeast,Williamson County,5,47,187,30-Jan-13 03:01:00,CST-6,0,0,0,0,60.00K,EF0,0.92,75,35.88,-87.12
Tennessee,Southeast,Robertson County,5,47,147,30-Jan-13 03:05:00,CST-6,0,0,0,0,250.00K,EF1,5.75,150,36.48,-86.81
Tennessee,Southeast,Davidson County,5,47,37,30-Jan-13 03:10:00,CST-6,0,0,0,0,70.00K,EF0,2.33,75,36.36,-86.77
Tennessee,Southeast,Robertson County,5,47,147,30-Jan-13 03:12:00,CST-6,1,0,0,0,750.00K,EF1,4.85,100,36.51,-86.72
Tennessee,Southeast,Davidson County,5,47,37,30-Jan-13 03:12:00,CST-6,1,0,0,0,150.00K,EF0,3.2,75,36.21,-86.77
Tennessee,Southeast,Sumner County,5,47,165,30-Jan-13 03:12:00,CST-6,0,0,0,0,120.00K,EF0,9.32,75,36.36,-86.73
Tennessee,Southeast,Sumner County,5,47,165,30-Jan-13 03:16:00,CST-6,0,0,0,0,19.00K,EF0,1.13,50,36.53,-86.63
Tennessee,Southeast,Williamson County,5,47,187,30-Jan-13 03:18:00,CST-6,0,0,0,0,100.00K,EF0,2,75,35.93,-86.86
Tennessee,Southeast,Sumner County,5,47,165,30-Jan-13 03:23:00,CST-6,0,0,0,0,225.00K,EF0,10.61,125,36.33,-86.55
Tennessee,Southeast,Wilson County,5,47,189,30-Jan-13 03:25:00,CST-6,0,0,0,0,1.00M,EF2,4.53,150,36.22,-86.55
Tennessee,Southeast,Sumner County,5,47,165,30-Jan-13 03:34:00,CST-6,0,0,0,0,65.00K,EF0,3.63,100,36.4,-86.34
Tennessee,Southeast,Sumner County,5,47,165,30-Jan-13 03:37:00,CST-6,0,0,0,0,45.00K,EF0,5.63,50,36.46,-86.34
Tennessee,Southeast,Wilson County,5,47,189,30-Jan-13 03:40:00,CST-6,0,0,0,0,800.00K,EF1,3.68,150,36.28,-86.33
Tennessee,Southeast,Williamson County,5,47,187,30-Jan-13 03:41:00,CST-6,0,0,0,0,80.00K,EF0,0.29,50,35.74,-86.7
Tennessee,Southeast,Rutherford County,5,47,149,30-Jan-13 03:42:00,CST-6,0,0,0,0,450.00K,EF1,4.3,150,35.74,-86.7
Tennessee,Southeast,Trousdale County,5,47,169,30-Jan-13 03:42:00,CST-6,0,0,0,0,,EF0,0.21,50,36.47,-86.24
Tennessee,Southeast,Trousdale County,5,47,169,30-Jan-13 03:43:00,CST-6,0,0,0,0,100.00K,EF1,1.45,150,36.3,-86.27
Tennessee,Southeast,Wilson County,5,47,189,30-Jan-13 03:45:00,CST-6,0,0,0,0,125.00K,EF1,2.71,150,36.31,-86.25
Tennessee,Southeast,Macon County,5,47,111,30-Jan-13 03:47:00,CST-6,0,0,0,0,85.00K,EF0,0.97,50,36.49,-86.15
Tennessee,Southeast,Trousdale County,5,47,169,30-Jan-13 03:48:00,CST-6,0,0,0,0,15.00K,EF1,2.19,150,36.33,-86.2
Tennessee,Southeast,Macon County,5,47,111,30-Jan-13 04:01:00,CST-6,0,0,0,0,175.00K,EF0,1.53,75,36.55,-85.92
Tennessee,Southeast,Cannon County,5,47,15,30-Jan-13 04:29:00,CST-6,0,0,0,0,75.00K,EF0,6.65,200,35.84,-86.08
Tennessee,Southeast,Lincoln County,5,47,103,30-Jan-13 04:46:00,CST-6,0,0,0,0,0.00K,EF1,5.28,250,35.1,-86.78
Tennessee,Southeast,Coffee County,5,47,31,30-Jan-13 05:26:00,CST-6,0,0,0,0,50.00K,EF0,4.57,75,35.49,-86.08
Tennessee,Southeast,Claiborne County,5,47,25,03-Mar-13 18:04:00,EST-5,0,0,0,0,,EF1,1.45,35,36.43,-83.6
Tennessee,Southeast,Humphreys County,5,47,85,18-Mar-13 06:40:00,CST-6,0,0,0,0,50.00K,EF1,1.49,150,36.19,-87.63
Tennessee,Southeast,Houston County,5,47,83,18-Mar-13 06:42:00,CST-6,0,0,0,0,25.00K,EF1,2.6,150,36.19,-87.6
Tennessee,Southeast,Dickson County,5,47,43,18-Mar-13 06:45:00,CST-6,0,0,0,0,250.00K,EF1,6.53,150,36.2,-87.56
Tennessee,Southeast,Maury County,5,47,119,18-Mar-13 10:22:00,CST-6,0,0,0,0,50.00K,EF0,3.7,50,35.5,-86.95
Tennessee,Southeast,Bedford County,5,47,3,18-Mar-13 10:47:00,CST-6,0,0,0,0,50.00K,EF0,3.89,50,35.58,-86.66
Tennessee,Southeast,Rutherford County,5,47,149,18-Mar-13 11:12:00,CST-6,0,0,0,0,50.00K,EF0,3.8,100,35.71,-86.35
Tennessee,Southeast,Lincoln County,5,47,103,19-Apr-13 01:03:00,CST-6,0,0,0,0,,EF1,3.1,400,35.22,-86.44
Tennessee,Southeast,Moore County,5,47,127,19-Apr-13 01:09:00,CST-6,0,0,0,0,,EF1,4.17,400,35.23,-86.39
Tennessee,Southeast,Fayette County,5,47,47,27-Apr-13 20:13:00,CST-6,1,0,0,0,100.00K,EF1,1.12,250,35.37,-89.5
Tennessee,Southeast,Fayette County,5,47,47,27-Apr-13 20:13:00,CST-6,1,0,0,0,100.00K,EF1,1.12,250,35.37,-89.5
Tennessee,Southeast,Tipton County,5,47,167,31-May-13 05:05:00,CST-6,0,0,0,0,180.00K,EF1,0.83,250,35.62,-89.7
Tennessee,Southeast,Franklin County,5,47,51,09-Jun-13 17:09:00,CST-6,0,0,0,0,,EF1,2.85,150,,
Tennessee,Southeast,Franklin County,5,47,51,09-Jun-13 17:32:00,CST-6,0,0,0,0,,EF0,0.29,50,,
Tennessee,Southeast,Jefferson County,5,47,89,13-Jun-13 14:11:00,EST-5,0,0,0,0,50.00K,EF1,2,120,36.13,-83.63
Tennessee,Southeast,Sevier County,5,47,155,13-Jun-13 14:55:00,EST-5,0,0,0,0,50.00K,EF1,0.5,150,35.79,-83.34
Tennessee,Southeast,Obion County,5,47,131,05-Oct-13 17:52:00,CST-6,0,0,0,0,0.00K,EF0,0.18,25,36.23,-89.25
Tennessee,Southeast,Robertson County,5,47,147,17-Nov-13 18:31:00,CST-6,0,0,0,0,200.00K,EF1,0.97,100,36.59,-86.69
Tennessee,Southeast,Sumner County,5,47,165,17-Nov-13 18:42:00,CST-6,0,0,0,0,200.00K,EF0,0.35,50,36.59,-86.52
Tennessee,Southeast,Lincoln County,5,47,103,17-Nov-13 21:37:00,CST-6,0,0,0,0,,EF0,0.57,25,35.22,-86.64
Virginia,Southeast,Spotsylvania County,5,51,177,19-Apr-13 17:36:00,EST-5,0,0,0,0,40.00K,EF1,0.75,150,38.3,-78.49
Virginia,Southeast,Amelia County,5,51,7,10-Jun-13 17:13:00,EST-5,0,0,0,0,0.00K,EF0,100,25,37.28,-78.13
Virginia,Southeast,Spotsylvania County,5,51,177,13-Jun-13 13:26:00,EST-5,0,0,0,0,0.00K,EF0,6.94,50,38.2,-77.66
Virginia,Southeast,Spotsylvania County,5,51,177,13-Jun-13 13:35:00,EST-5,0,0,0,0,10.00K,EF0,2.45,75,38.1,-77.54
Virginia,Southeast,King George County,5,51,99,13-Jun-13 13:57:00,EST-5,0,0,0,0,0.00K,EF0,7.14,50,38.18,-77.18
